,;gram;pu;P;1
barak;nom;;CVCVC;199687
bárak;nom;;CVCVC;199688
barda;nom;;CVCCV;199748
barys;nom;;CVCVC;199839
basic;nom;;CVCVC;199865
basse;nom;;CVCCV;199890
basso;nom;;CVCCV;199892
basta;gram;in;CVCCV;199893
batão;nom;;CVCVV;199922
batar;ver;;CVCVC;199924
batas;nom;;CVCVC;199925
batea;adj;;CVCVV;199932
bauds;nom;;CVVCC;200004
bboys;nom;;CCVVC;200024
beans;nom;;CVVCC;200036
bebê-;nom;;CVCV-;200055
becas;nom;;CVCVC;200086
béééé;nom;;CVVVV;200098
beers;nom;;CVVCC;200102
began;nom;;CVCVC;200108
bêibi;nom;;CVVCV;200123
belaz;adj;;CVCVC;200165
belém;nom;;CVCVC;200169
bella;adj;;CVCCV;200192
bello;adj;;CVCCV;200196
bello;nom;;CVCCV;200197
belt-;nom;;CVCC-;200202
bem87;nom;;CVCNN;200210
bem-y;nom;;CVC-V;200347
bento;nom;;CVCCV;200407
berma;nom;;CVCCV;200444
berth;nom;;CVCCC;200465
besos;nom;;CVCVC;200470
beste;nom;;CVCCV;200477
betão;nom;;CVCVV;200498
betel;nom;;CVCVC;200500
beteu;adj;;CVCVV;200502
biker;ver;;CVCVC;200649
bimba;nom;;CVCCV;200680
binga;nom;;CVCCV;200695
biodo;nom;;CVVCV;200709
biota;nom;;CVVCV;200755
bipar;nom;;CVCVC;200766
birds;nom;;CVCCC;200780
bisco;nom;;CVCCV;200799
bissa;nom;;CVCCV;200820
bites;nom;;CVCVC;200829
bizar;ver;;CVCVC;200845
blank;nom;;CCVCC;200857
blazé;nom;;CCVCV;200872
blens;nom;;CCVCC;200884
blips;nom;;CCVCC;200890
bloks;nom;;CCVCC;200899
blood;nom;;CCVVC;200903
bnção;nom;;CCCVV;200931
boa-,;adj;;CVV-P;200935
bôers;adj;;CVVCC;201000
boião;nom;;CVVVV;201020
boito;nom;;CVVCV;201041
bolão;adj;;CVCVV;201061
bolls;nom;;CVCCC;201085
bolsa;adj;;CVCCV;201093
bombo;nom;;CVCCV;201136
bones;nom;;CVCVC;201164
bonês;nom;;CVCVC;201165
bonos;nom;;CVCVC;201183
bonum;nom;;CVCVC;201188
bonun;nom;;CVCVC;201189
boots;nom;;CVVCC;201206
bórax;nom;;CVCVC;201217
bordô;nom;;CVCCV;201241
borel;nom;;CVCVC;201247
boros;nom;;CVCVC;201256
bosta;gram;in;CVCCV;201301
botín;nom;;CVCVC;201324
botón;nom;;CVCVC;201330
bound;nom;;CVVCC;201346
braçs;nom;;CCVCC;201383
braim;nom;;CCVVC;201398
brave;nom;;CCVCV;201508
bread;nom;;CCVVC;201522
brema;nom;;CCVCV;201545
bretã;nom;;CCVCV;201558
brews;nom;;CCVCC;201566
brião;adj;;CCVVV;201570
brica;nom;;CCVCV;201572
brick;nom;;CCVCC;201577
brimo;adj;;CCVCV;201616
brine;nom;;CCVCV;201641
bring;nom;;CCVCC;201643
brlée;nom;;CCCVV;201668
bruch;nom;;CCVCC;201729
brudo;adj;;CCVCV;201731
bruna;adj;;CCVCV;201737
bruno;adj;;CCVCV;201740
brush;nom;;CCVCC;201743
bruta;nom;;CCVCV;201746
bucle;nom;;CVCCV;201783
budas;nom;;CVCVC;201789
budum;nom;;CVCVC;201793
bufar;ver;;CVCVC;201803
buffê;nom;;CVCCV;201805
bufos;adj;;CVCVC;201808
bugel;nom;;CVCVC;201816
bulto;nom;;CVCCV;201844
bumbá;gram;in;CVCCV;201845
bundê;nom;;CVCCV;201852
burak;nom;;CVCVC;201864
burda;adj;;CVCCV;201868
burek;nom;;CVCVC;201870
burel;nom;;CVCVC;201871
burst;nom;;CVCCC;201905
buses;nom;;CVCVC;201920
butch;nom;;CVCCC;201936
cabaz;nom;;CVCVC;201971
çados;adj;;CVCVC;202186
caelo;adj;;CVVCV;202193
café-;nom;;CVCV-;202208
caffé;nom;;CVCCV;202222
cafta;adj;;CVCCV;202226
cages;nom;;CVCVC;202244
cahar;ver;;CVCVC;202247
caids;nom;;CVVCC;202260
caímo;adj;;CVVCV;202265
cairn;nom;;CVVCC;202287
cálcu;nom;;CVCCV;202390
calim;nom;;CVCVC;202470
calls;nom;;CVCCC;202483
calro;adj;;CVCCV;202513
câmbo;nom;;CVCCV;202583
capac;nom;;CVCVC;203016
carat;nom;;CVCVC;203261
carbo;gram;ec;CVCCV;203270
çarte;nom;;CVCCV;203581
cas-a;nom;;CVC-V;203629
ca-sa;gram;ks+n;CV-CV;203630
casae;nom;;CVCVV;203643
casbá;nom;;CVCCV;203682
catia;nom;;CVCVV;203882
caúna;nom;;CVVCV;203935
cauta;adj;;CVVCV;203966
cauto;adj;;CVVCV;203969
cbelo;nom;;CCVCV;204041
ccujo;gram;det;CCVCV;204051
cebos;nom;;CVCVC;204065
ce-ci;nom;;CV-CV;204073
célio;nom;;CVCVV;204156
cells;nom;;CVCCC;204159
cena2;nom;;CVCVN;204181
cere-;nom;;CVCV-;204336
cerol;nom;;CVCVC;204362
certs;nom;;CVCCC;204407
céu60;nom;;CVVNN;204449
ceval;adj;;CVCVC;204453
chace;nom;;CCVCV;204467
chair;ver;;CCVVC;204512
chalá;adj;;CCVCV;204514
champ;nom;;CCVCC;204567
chãos;adj;;CCVVC;204606
chatô;adj;;CCVCV;204684
cheap;nom;;CCVVC;204708
chegô;nom;;CCVCV;204768
cheks;nom;;CCVCC;204790
chess;nom;;CCVCC;204810
chest;nom;;CCVCC;204811
chica;adj;;CCVCV;204834
chica;nom;;CCVCV;204835
chics;adj;;CCVCC;204855
chics;nom;;CCVCC;204856
chien;nom;;CCVVC;204857
chife;nom;;CCVCV;204860
chill;nom;;CCVCC;204873
chinê;nom;;CCVCV;204883
chino;adj;;CCVCV;204899
chino;nom;;CCVCV;204900
choco;adj;;CCVCV;204953
chops;nom;;CCVCC;204971
chôro;nom;;CCVCV;204992
chren;nom;;CCCVC;205012
chulé;adj;;CCVCV;205033
cia..;nom;;CVVPP;205086
ciade;nom;;CVVCV;205092
cicio;nom;;CVCVV;205133
cidad;nom;;CVCVC;205158
cieps;nom;;CVVCC;205238
cilco;nom;;CVCCV;205256
cilha;nom;;CVCCV;205257
cinco;adj;;CVCCV;205286
cinso;adj;;CVCCV;205396
circa;adj;;CVCCV;205429
cismô;nom;;CVCCV;205522
citop;nom;;CVCVC;205557
citra;adj;;CVCCV;205566
cívil;adj;;CVCVC;205582
civíl;adj;;CVCVC;205583
civís;nom;;CVCVC;205599
clade;nom;;CCVCV;205605
clash;nom;;CCVCC;205653
coala;nom;;CVVCV;205900
coato;adj;;CVVCV;205923
cobir;ver;;CVCVC;205951
cocas;nom;;CVCVC;206002
coima;nom;;CVVCV;206181
co-la;gram;ec+pers;CV-CV;206219
colón;nom;;CVCVC;206463
colza;nom;;CVCCV;206521
com10;nom;;CVCNN;206522
com45;nom;;CVCNN;206523
coman;nom;;CVCVC;206529
comeá;nom;;CVCVV;206597
comen;nom;;CVCVC;206647
comic;nom;;CVCVC;206744
comim;nom;;CVCVC;206761
co-mo;gram;ec+pers+pers;CV-CV;206811
­cómo;nom;;-CVCV;206812
como7;nom;;CVCVN;206813
comol;nom;;CVCVC;206827
conar;ver;;CVCVC;207359
conca;nom;;CVCCV;207364
conra;adj;;CVCCV;208186
conse;nom;;CVCCV;208225
copta;adj;;CVCCV;209511
co-ré;nom;;CV-CV;209589
corró;nom;;CVCCV;209820
cosmo;adj;;CVCCV;209955
costs;nom;;CVCCC;209991
côtés;nom;;CVCVC;210030
cotim;nom;;CVCVC;210037
cotta;nom;;CVCCV;210059
couab;nom;;CVVVC;210061
couch;nom;;CVVCC;210066
couer;nom;;CVVVC;210069
cough;nom;;CVVCC;210071
coupe;nom;;CVVCV;210085
coupê;nom;;CVVCV;210086
covos;nom;;CVCVC;210126
craca;nom;;CCVCV;210162
craft;nom;;CCVCC;210176
crapô;nom;;CCVCV;210191
craro;adj;;CCVCV;210196
crear;adj;;CCVVC;210252
crear;nom;;CCVVC;210253
crear;ver;;CCVVC;210254
creen;nom;;CCVVC;210300
creep;nom;;CCVVC;210302
creer;nom;;CCVVC;210304
crees;nom;;CCVVC;210305
créme;adj;;CCVCV;210314
crená;nom;;CCVCV;210320
crino;nom;;CCVCV;210457
critã;nom;;CCVCV;210529
croás;nom;;CCVVC;210597
croit;nom;;CCVVC;210613
crook;nom;;CCVVC;210654
cruda;adj;;CCVCV;210682
cruor;nom;;CCVVC;210689
crupe;nom;;CCVCV;210690
cruzy;nom;;CCVCV;210726
cuatá;nom;;CVVCV;210743
cu-ba;nom;;CV-CV;210746
cuia-;nom;;CVVV-;210789
culés;nom;;CVCVC;210814
culex;nom;;CVCVC;210815
culti;nom;;CVCCV;210859
cultu;nom;;CVCCV;210875
cuman;nom;;CVCVC;210900
cumbo;nom;;CVCCV;210905
cunhã;nom;;CVCCV;210957
cuore;nom;;CVVCV;210972
cupão;nom;;CVCVV;210976
cupon;nom;;CVCVC;210986
curdo;nom;;CVCCV;211010
cuspo;nom;;CVCCV;211103
cuyas;adj;;CVVVC;211161
cuyos;adj;;CVVVC;211163
cyber;nom;;CVCVC;211166
cycle;nom;;CVCCV;211181
dá145;nom;;CVNNN;211191
daddy;nom;;CVCCV;211213
dado3;nom;;CVCVN;211215
da-fé;gram;prp+n;CV-CV;211222
dafne;nom;;CVCCV;211226
dagga;nom;;CVCCV;211231
daime;nom;;CVVCV;211235
dalém;gram;prp;CVCVC;211246
dalma;adj;;CVCCV;211251
danda;adj;;CVCCV;211288
daños;nom;;CVCVC;211301
daonu;nom;;CVVCV;211312
daptó;nom;;CVCCV;211324
dária;nom;;CVCVV;211343
dariz;nom;;CVCVC;211345
darle;nom;;CVCCV;211349
darma;adj;;CVCCV;211354
darra;adj;;CVCCV;211356
dásia;nom;;CVCVV;211374
ddous;nom;;CCVVC;211431
de800;nom;;CVNNN;211447
debía;nom;;CVCVV;211510
debte;nom;;CVCCV;211555
debug;nom;;CVCVC;211557
decks;nom;;CVCCC;211685
decor;nom;;CVCVC;211775
decór;nom;;CVCVC;211776
dedez;nom;;CVCVC;211836
deduy;nom;;CVCVV;211875
deeps;nom;;CVVCC;211901
deeve;nom;;CVVCV;211904
defhc;nom;;CVCCC;211962
defôt;nom;;CVCVC;212052
deind;nom;;CVVCC;212147
deitá;nom;;CVVCV;212159
deixa;adj;;CVVCV;212181
deixe;nom;;CVVCV;212212
dejen;nom;;CVCVC;212236
delir;ver;;CVCVC;212372
demão;nom;;CVCVV;212411
demás;adj;;CVCVC;212423
demon;nom;;CVCVC;212496
dença;nom;;CVCCV;212549
denós;nom;;CVCVC;212590
deões;nom;;CVVVC;212649
depis;adj;;CVCVC;212717
depos;adj;;CVCVC;212748
depos;nom;;CVCVC;212749
desde;nom;;CVCCV;213866
de-so;gram;ec+ec;CV-CV;214892
deste;nom;;CVCCV;215404
détat;nom;;CVCVC;215674
deuil;adj;;CVVVC;215790
deus-;nom;;CVVC-;215795
deven;nom;;CVCVC;215838
dfias;nom;;CCVVC;215947
dhuta;adj;;CCVCV;215952
dia10;nom;;CVVNN;215954
dia20;nom;;CVVNN;215956
dia90;nom;;CVVNN;215958
dia-a;gram;ec+prp;CVV-V;215960
dias-;nom;;CVVC-;216058
dias4;nom;;CVVCN;216059
dicen;nom;;CVCVC;216081
dicha;nom;;CVCCV;216083
dicos;nom;;CVCVC;216097
diese;nom;;CVVCV;216131
difus;nom;;CVCVC;216241
digit;nom;;CVCVC;216260
dígna;adj;;CVCCV;216274
diner;nom;;CVCVC;216421
dingo;nom;;CVCCV;216424
diolo;adj;;CVVCV;216443
dirrã;nom;;CVCCV;216598
dirty;nom;;CVCCV;216601
disse;nom;;CVCCV;216907
ditas;nom;;CVCVC;217134
dítio;nom;;CVCVV;217144
ditra;adj;;CVCCV;217148
diva-;nom;;CVCV-;217156
divos;adj;;CVCVC;217245
dizen;adj;;CVCVC;217281
do-ar;nom;;CV-VC;217330
dobid;nom;;CVCVC;217337
dodói;adj;;CVCVV;217413
dodói;nom;;CVCVV;217414
doges;nom;;CVCVC;217429
doggy;nom;;CVCCV;217431
dogue;nom;;CVCVV;217436
dolmo;nom;;CVCCV;217470
dolor;nom;;CVCVC;217471
dona-;nom;;CVCV-;217539
doors;nom;;CVVCC;217559
dopdt;nom;;CVCCC;217570
do-ré;gram;prp+n;CV-CV;217585
doren;nom;;CVCVC;217590
dorio;adj;;CVCVV;217597
dorio;nom;;CVCVV;217598
dorma;adj;;CVCCV;217599
dorna;nom;;CVCCV;217615
dóron;nom;;CVCVC;217619
dos10;nom;;CVCNN;217625
dos19;nom;;CVCNN;217626
doséc;nom;;CVCVC;217636
doseu;adj;;CVCVV;217644
dotal;adj;;CVCVC;217671
douda;nom;;CVVCV;217693
dous-;num;;CVVC-;217702
doves;nom;;CVCVC;217718
dpara;adj;;CCVCV;217731
drain;nom;;CCVVC;217757
dreht;nom;;CCVCC;217782
dreit;nom;;CCVVC;217783
droit;nom;;CCVVC;217822
drugs;nom;;CCVCC;217835
drums;nom;;CCVCC;217841
druso;adj;;CCVCV;217843
dsaía;adj;;CCVVV;217847
duais;adj;;CVVVC;217862
duala;adj;;CVVCV;217863
duets;nom;;CVVCC;217892
duleo;adj;;CVCVV;217897
dully;nom;;CVCCV;217898
dummy;nom;;CVCCV;217900
dunda;adj;;CVCCV;217903
durée;nom;;CVCVV;217951
dúvid;nom;;CVCVC;217968
dzeta;adj;;CCVCV;217996
eager;ver;;VVCVC;218007
echos;nom;;VCCVC;218063
echte;nom;;VCCCV;218064
ecler;nom;;VCCVC;218070
écomo;adj;;VCVCV;218115
econô;nom;;VCVCV;218122
écran;nom;;VCCVC;218209
ecria;nom;;VCCVV;218215
eculo;nom;;VCVCV;218227
édens;nom;;VCVCC;218245
edges;nom;;VCCVC;218249
edito;nom;;VCVCV;218286
édito;nom;;VCVCV;218288
ê-ele;gram;ec+pers;V-VCV;218344
effet;nom;;VCCVC;218407
efica;adj;;VCVCV;218412
eilos;adv;;VVCVC;218476
einer;ver;;VVCVC;218480
eixão;nom;;VVCVV;218505
eixar;ver;;VVCVC;218506
ekhen;nom;;VCCVC;218533
ela38;nom;;VCVNN;218534
ela86;nom;;VCVNN;218535
ele87;nom;;VCVNN;218572
ele89;nom;;VCVNN;218573
eleio;adj;;VCVVV;218622
elétl;nom;;VCVCC;218665
elets;nom;;VCVCC;218730
elfos;nom;;VCCVC;218749
elias;nom;;VCVVC;218751
elixo;nom;;VCVCV;218808
ellos;adj;;VCCVC;218817
émata;nom;;VCVCV;218919
embor;nom;;VCCVC;219071
emdia;nom;;VCCVV;219170
emfim;adv;;VCCVC;219213
emile;nom;;VCVCV;219226
em-mi;gram;ec+det;VC-CV;219254
emoão;adj;;VCVVV;219258
empen;nom;;VCCVC;219367
empós;adv;;VCCVC;219495
empre;nom;;VCCCV;219504
empur;nom;;VCCVC;219645
emtir;ver;;VCCVC;219677
emurv;nom;;VCVCC;219697
en415;nom;;VCNNN;219702
endro;nom;;VCCCV;220220
enéas;adj;;VCVVC;220230
enero;adj;;VCVCV;220254
enfím;adv;;VCCVC;220345
enhor;nom;;VCCVC;220650
ênico;adj;;VCVCV;220653
ennes;nom;;VCCVC;220718
enojo;nom;;VCVCV;220738
ensen;nom;;VCCVC;220921
entào;nom;;VCCVV;220983
entar;adj;;VCCVC;220988
entar;ver;;VCCVC;220989
entry;nom;;VCCCV;221320
eron;nom;;VVCVC;221548
eólia;adj;;VVCVV;221549
eólia;nom;;VVCVV;221550
eólio;adj;;VVCVV;221552
eólio;nom;;VVCVV;221553
eorum;nom;;VVCVC;221563
epara;nom;;VCVCV;221569
épcca;nom;;VCCCV;221573
epede;nom;;VCVCV;221575
epela;adj;;VCVCV;221578
épóca;nom;;VCVCV;221637
epoch;nom;;VCVCC;221641
épova;nom;;VCVCV;221648
epoxi;nom;;VCVCV;221649
eppur;nom;;VCCVC;221650
erarn;nom;;VCVCC;221783
êrros;nom;;VCCVC;221898
esco-;nom;;VCCV-;222113
escól;nom;;VCCVC;222122
eslov;nom;;VCCVC;222440
é-sou;nom;;V-CVV;222496
espan;nom;;VCCVC;222535
esper;ver;;VCCVC;222647
espia;nom;;VCCVV;222721
espiã;nom;;VCCVV;222722
essay;nom;;VCCVV;222904
essse;nom;;VCCCV;222911
esstá;nom;;VCCCV;222912
estás;nom;;VCCVC;223059
estav;nom;;VCCVC;223078
éster;nom;;VCCVC;223123
éstos;nom;;VCCVC;223266
estra;adj;;VCCCV;223277
estva;adj;;VCCCV;223502
estve;nom;;VCCCV;223503
etado;nom;;VCVCV;223540
était;nom;;VCVVC;223543
etano;nom;;VCVCV;223544
éter5;nom;;VCVCN;223558
éthos;nom;;VCCVC;223572
etico;adj;;VCVCV;223575
etina;adj;;VCVCV;223589
etros;adj;;VCCVC;223626
etros;nom;;VCCVC;223627
étude;nom;;VCVCV;223631
éútil;adj;;VVCVC;223717
eu-tu;gram;pers+pers;VV-CV;223719
evasê;nom;;VCVCV;223750
even-;nom;;VCVC-;223757
event;nom;;VCVCC;223764
eveto;nom;;VCVCV;223778
evita;adj;;VCVCV;223804
ex-10;nom;;VC-NN;223854
ex-23;nom;;VC-NN;223855
ex-bc;nom;;VC-CC;224022
ex-ce;nom;;VC-CV;224068
excès;nom;;VCCVC;224101
ex-ex;nom;;VC-VC;224412
exist;nom;;VCVCC;224576
exita;nom;;VCVCV;224595
exito;nom;;VCVCV;224599
éxito;nom;;VCVCV;224600
exôdo;adj;;VCVCV;224715
exôdo;nom;;VCVCV;224716
ex-pc;nom;;VC-CC;224803
extre;nom;;VCCCV;225485
eyaks;nom;;VVVCC;225556
faast;nom;;CVVCC;225561
faber;nom;;CVCVC;225563
fable;nom;;CVCCV;225568
fabro;nom;;CVCCV;225595
facie;nom;;CVCVV;225627
facio;adj;;CVCVV;225645
facta;adj;;CVCCV;225654
factu;nom;;CVCCV;225659
faerá;nom;;CVVCV;225671
falaa;nom;;CVCVV;225703
fãllt;nom;;CVCCC;225771
fálus;nom;;CVCVC;225829
famas;nom;;CVCVC;225834
fames;nom;;CVCVC;225837
fanal;nom;;CVCVC;225867
fanho;adj;;CVCCV;225880
fanny;nom;;CVCCV;225882
fante;adj;;CVCCV;225907
faotr;nom;;CVVCC;225910
farad;nom;;CVCVC;225919
farco;adj;;CVCCV;225926
faril;adj;;CVCVC;225945
faros;nom;;CVCVC;225980
farós;nom;;CVCVC;225981
farto;nom;;CVCCV;226001
fato;nom;;CVCVP;226070
fatto;nom;;CVCCV;226076
fátua;adj;;CVCVV;226077
fátuo;adj;;CVCVV;226082
fauce;nom;;CVVCV;226091
faune;nom;;CVVCV;226097
fauve;nom;;CVVCV;226111
fazâ-;nom;;CVCV-;226148
fazar;adj;;CVCVC;226150
fazém;nom;;CVCVC;226162
fechr;nom;;CVCCC;226243
feels;nom;;CVVCC;226284
fejão;nom;;CVCVV;226312
fejer;nom;;CVCVC;226313
felix;nom;;CVCVC;226329
felpa;nom;;CVCCV;226335
fêmas;nom;;CVCVC;226339
fenos;nom;;CVCVC;226390
feraz;adj;;CVCVC;226405
feros;adj;;CVCVC;226446
ferta;nom;;CVCCV;226473
fetal;nom;;CVCVC;226526
feüão;adj;;CVVVV;226539
fever;nom;;CVCVC;226548
fez26;nom;;CVCNN;226553
fiada;nom;;CVVCV;226562
fica1;nom;;CVCVN;226583
fical;adj;;CVCVC;226586
ficão;nom;;CVCVV;226595
fichu;nom;;CVCCV;226626
fícus;nom;;CVCVC;226635
fides;nom;;CVCVC;226648
fidus;nom;;CVCVC;226650
fiéís;nom;;CVVVC;226654
fieno;adj;;CVVCV;226655
fiery;nom;;CVVCV;226658
figée;nom;;CVCVV;226663
fiime;nom;;CVVCV;226694
fijos;adj;;CVCVC;226698
fills;nom;;CVCCC;226769
filos;nom;;CVCVC;226825
fimde;nom;;CVCCV;226862
fimes;nom;;CVCVC;226870
finão;nom;;CVCVV;226923
finês;nom;;CVCVC;226942
fins-;nom;;CVCC-;226970
fisso;nom;;CVCCV;227087
fixas;adj;;CVCVC;227133
fixed;nom;;CVCVC;227137
fizé-;nom;;CVCV-;227144
flair;ver;;CCVVC;227181
flaté;nom;;CCVCV;227206
flato;nom;;CCVCV;227207
flavo;adj;;CCVCV;227213
flexa;adj;;CCVCV;227231
flexa;nom;;CCVCV;227232
flexo;adj;;CCVCV;227249
flirt;nom;;CCVCC;227256
fluor;nom;;CCVVC;227321
fóder;nom;;CVCVC;227376
fôfos;adj;;CVCVC;227389
fojos;nom;;CVCVC;227422
foley;nom;;CVCVV;227443
folgo;nom;;CVCCV;227454
folha;num;;CVCCV;227457
foliã;nom;;CVCVV;227480
fomal;adj;;CVCVC;227501
fomer;nom;;CVCVC;227513
fonal;nom;;CVCVC;227520
foncé;nom;;CVCCV;227521
forma;adj;;CVCCV;227625
forma;adv;;CVCCV;227626
fotne;nom;;CVCCV;227845
fouls;nom;;CVVCC;227917
fours;nom;;CVVCC;227924
foxes;nom;;CVCVC;227932
frees;nom;;CCVVC;228148
freis;nom;;CCVVC;228173
fresa;nom;;CCVCV;228212
friga;nom;;CCVCV;228256
froco;nom;;CCVCV;228296
fsuas;adj;;CCVVC;228363
fuder;ver;;CVCVC;228381
fuego;adj;;CVVCV;228386
fuera;adj;;CVVCV;228388
fuese;nom;;CVVCV;228391
fugit;nom;;CVCVC;228408
fular;nom;;CVCVC;228429
fulto;nom;;CVCCV;228463
fulva;adj;;CVCCV;228464
fummo;adj;;CVCCV;228493
funje;nom;;CVCCV;228615
funny;nom;;CVCCV;228625
fürer;nom;;CVCVC;228640
fusil;adj;;CVCVC;228667
futon;nom;;CVCVC;228698
futre;nom;;CVCCV;228700
futur;nom;;CVCVC;228708
gaffe;nom;;CVCCV;228763
gahar;adj;;CVCVC;228768
gaíes;nom;;CVVVC;228772
gaios;adj;;CVVVC;228774
gaixa;adj;;CVVCV;228776
gajos;nom;;CVCVC;228780
galán;nom;;CVCVC;228785
galop;nom;;CVCVC;228837
gamos;nom;;CVCVC;228873
gámos;nom;;CVCVC;228874
ganar;ver;;CVCVC;228881
gangs;nom;;CVCCC;228904
ganzê;nom;;CVCCV;228928
garde;nom;;CVCCV;228970
gares;nom;;CVCVC;228975
gás40;nom;;CVCNN;229055
gatal;adj;;CVCVC;229098
gazed;nom;;CVCVC;229161
géant;nom;;CVVCC;229177
gédia;nom;;CVCVV;229179
geena;nom;;CVVCV;229181
gêero;nom;;CVVCV;229182
geito;nom;;CVVCV;229190
gelot;nom;;CVCVC;229203
gênes;nom;;CVCVC;229260
génio;nom;;CVCVV;229275
genta;nom;;CVCCV;229289
genus;nom;;CVCVC;229301
giant;nom;;CVVCC;229467
giclê;nom;;CVCCV;229475
gilet;nom;;CVCVC;229489
ginja;nom;;CVCCV;229511
gipsy;nom;;CVCCV;229519
giras;adj;;CVCVC;229528
giron;nom;;CVCVC;229536
glacé;nom;;CCVCV;229546
glama;adj;;CCVCV;229554
glanz;nom;;CCVCC;229566
glifo;nom;;CCVCV;229584
gocia;nom;;CVCVV;229649
godos;adj;;CVCVC;229651
goiás;nom;;CVVVC;229670
goiva;nom;;CVVCV;229672
golde;nom;;CVCCV;229678
golos;nom;;CVCVC;229706
gomme;nom;;CVCCV;229719
gongá;nom;;CVCCV;229727
gonzo;nom;;CVCCV;229734
goras;adj;;CVCVC;229739
gorja;nom;;CVCCV;229758
gospe;nom;;CVCCV;229771
gosta;nom;;CVCCV;229773
gostá;adj;;CVCCV;229774
goura;adj;;CVVCV;229810
gp160;nom;;CCNNN;229869
grecs;nom;;CCVCC;230105
grids;nom;;CCVCC;230134
grief;nom;;CCVVC;230136
grifa;adj;;CCVCV;230138
grifo;adj;;CCVCV;230143
griot;nom;;CCVVC;230159
grosa;nom;;CCVCV;230187
gruos;nom;;CCVVC;230216
grupo;adj;;CCVCV;230222
guajá;nom;;CVVCV;230244
guano;nom;;CVVCV;230249
guaxo;adj;;CVVCV;230322
guaxo;nom;;CVVCV;230323
guedê;nom;;CVVCV;230324
guest;nom;;CVVCC;230354
guide;nom;;CVVCV;230388
guita;nom;;CVVCV;230421
gulab;nom;;CVCVC;230426
gulag;nom;;CVCVC;230427
gulas;nom;;CVCVC;230428
gully;nom;;CVCCV;230430
gumbo;nom;;CVCCV;230433
gunga;adj;;CVCCV;230434
gusto;nom;;CVCCV;230448
había;nom;;CVCVV;230470
habil;adj;;CVCVC;230471
habit;nom;;CVCVC;230493
habla;adj;;CVCCV;230520
habrá;nom;;CVCCV;230525
hache;nom;;CVCCV;230532
hacia;nom;;CVCVV;230538
há-de;gram;prp+prp;CV-CV;230544
haine;nom;;CVVCV;230563
hakka;adj;;CVCCV;230571
halal;adj;;CVCVC;230574
hall-;nom;;CVCC-;230578
halós;nom;;CVCVC;230585
hansa;nom;;CVCCV;230608
hapéu;nom;;CVCVV;230614
hapyy;nom;;CVCVV;230624
hard-;nom;;CVCC-;230629
harrt;nom;;CVCCC;230659
harto;adj;;CVCCV;230661
havar;ver;;CVCVC;230687
havrá;nom;;CVCCV;230713
hayan;nom;;CVVVC;230716
heads;nom;;CVVCC;230725
hecho;nom;;CVCCV;230747
heels;nom;;CVVCC;230758
hegel;nom;;CVCVC;230759
heiss;nom;;CVVCC;230778
hélas;adj;;CVCVC;230782
hélas;nom;;CVCVC;230783
hence;nom;;CVCCV;230847
hepta;adj;;CVCCV;230862
heptà;nom;;CVCCV;230863
heril;adj;;CVCVC;230899
héroe;nom;;CVCVV;230916
heroi;nom;;CVCVV;230917
heroí;nom;;CVCVV;230918
herva;nom;;CVCCV;230945
hévea;nom;;CVCVV;230983
hicks;nom;;CVCCC;231006
hicso;adj;;CVCCV;231008
hiera;nom;;CVVCV;231085
hi-fi;nom;;CV-CV;231103
hippa;nom;;CVCCV;231313
hirta;adj;;CVCCV;231326
hleen;nom;;CCVVC;231414
hocus;nom;;CVCVC;231429
ho-ho;nom;;CV-CV;231436
hojeà;nom;;CVCVV;231440
hondo;adj;;CVCCV;231610
honny;nom;;CVCCV;231617
hoods;nom;;CVVCC;231635
horca;nom;;CVCCV;231650
hotal;nom;;CVCVC;231735
hôtel;nom;;CVCVC;231739
hully;nom;;CVCCV;231874
humer;nom;;CVCVC;231905
hummm;nom;;CVCCC;231927
humms;nom;;CVCCC;231929
huron;nom;;CVCVC;231949
husky;nom;;CVCCV;231955
hypar;nom;;CVCVC;231967
iária;adj;;VVCVV;231991
ibera;adj;;VCVCV;232000
íbero;nom;;VCVCV;232004
icone;nom;;VCVCV;232039
ídalo;adj;;VCVCV;232060
ideía;nom;;VCVVV;232080
idela;adj;;VCVCV;232087
idera;adj;;VCVCV;232154
ídice;nom;;VCVCV;232157
idiot;nom;;VCVVC;232166
idola;adj;;VCVCV;232176
idota;adj;;VCVCV;232188
iéias;adj;;VVVVC;232193
iê-iê;nom;;VV-VV;232194
iêmen;nom;;VVCVC;232203
ifame;nom;;VCVCV;232207
iibid;nom;;VVCVC;232262
iilha;nom;;VVCCV;232265
ijexá;nom;;VCVCV;232272
illha;nom;;VCCCV;232305
illis;nom;;VCCVC;232306
ilusa;adj;;VCVCV;232349
iluso;adj;;VCVCV;232350
imano;adj;;VCVCV;232420
immer;ver;;VCCVC;232502
impea;adj;;VCCVV;232557
imper;ver;;VCCVC;232593
ímpia;adj;;VCCVV;232625
impos;nom;;VCCVC;232751
inclu;nom;;VCCCV;233200
incom;nom;;VCCVC;233234
incon;nom;;VCCVC;233270
incor;nom;;VCCVC;233326
index;nom;;VCCVC;233541
india;nom;;VCCVV;233557
ìndio;adj;;VCCVV;233634
ìndio;nom;;VCCVV;233635
indiv;nom;;VCCVC;233678
indús;nom;;VCCVC;233717
infân;nom;;VCCVC;233831
ingás;nom;;VCCVC;234101
